Track Name,Artist,Artist URI,Artist Popularity,Artist Genres,Track Duration(ms),Release Date,Track Popularity
Long Train Runnin',The Doobie Brothers,spotify:artist:39T6qqI0jDtSWWioX8eGJz,65,"album rock, classic rock, country rock, folk rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock, yacht rock",207266,1973,72
Lips Of An Angel,Hinder,spotify:artist:6BMhCQJYHxxKAeqYS1p5rY,59,"alternative metal, nu metal, post-grunge",261853,2005-01-01,75
Happy?,Mudvayne,spotify:artist:2Pfv2w8a20xzC7Dr7QXRqM,58,"alternative metal, industrial metal, nu metal, rap metal",216426,2005,71
Kathleen,Catfish and the Bottlemen,spotify:artist:2xaAOVImG2O6lURwqperlD,63,"modern alternative rock, modern rock, stomp pop, welsh rock",160886,2014-09-15,69
Save Yourself,Stabbing Westward,spotify:artist:5daXMUbrPh8oX9Nd4CnToG,39,"alternative metal, industrial metal, industrial rock, nu metal",253573,2003-04-01,45
I Woke Up Today,Port O'Brien,spotify:artist:7xMkS2osPSe4lWFBnvE12A,18,"modern folk rock, oakland indie",201853,2008-01-01,27
Till It's Gone,Yelawolf,spotify:artist:68DWke2VjdDmA75aJX5C57,64,"alabama rap, detroit hip hop",275546,2015-04-21,64
The Letter,The Box Tops,spotify:artist:3KGQvnOoqUHi3KxKQMZtXr,51,"bubblegum pop, classic garage rock, folk rock, merseybeat, psychedelic rock, rock-and-roll",112800,1967,71
Breathless,The Corrs,spotify:artist:1VbWUxZTRNY2gw3qZ1tg9W,59,"celtic rock, europop, pop rock",207506,2000-07-17,71
Snakes For The Divine,High On Fire,spotify:artist:1eiIIImNeUj3vpaocWqoOf,44,"sludge metal, stoner metal, stoner rock",503800,2010-02-23,0
In the Meantime,Spacehog,spotify:artist:3NZE8jDD2cCzd4vUyZ5CQQ,47,"glam rock, pop rock, post-grunge",299506,1995,67
Chick Magnet,MxPx,spotify:artist:1cSpfa4Un4NCOzeOKgGtG9,46,"christian punk, pop punk, punk, ska, ska punk, skate punk",192373,1995-07-27,41
Don't Wanna Be Your Girl,Wet,spotify:artist:2i9uaNzfUtuApAjEf1omV8,49,"brooklyn indie, electropop, indie poptimism, nyc pop, shimmer pop",174093,2014-05-06,48
Jack & Diane,John Mellencamp,spotify:artist:3lPQ2Fk5JOwGWAF3ORFCqH,63,"album rock, classic rock, country rock, folk rock, hard rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock",254493,1982,76
Fuckabout,Drenge,spotify:artist:1bqX4oZFTWIQFk90AwKfnC,24,"derby indie, english indie rock, garage rock revival, modern alternative rock",255693,2013-08-19,34
Ex's & Oh's,Elle King,spotify:artist:3bhu7P5PfngueRHiB9hjcx,61,modern blues rock,202173,2015-02-13,74
Broken Promises,Element Eighty,spotify:artist:4Iyvo65peG4ImDz5AzTqQB,37,rap rock,197933,2003-09-08,51
Breaking up My Bones,Vinyl Theatre,spotify:artist:7xSEWLsywYbocdtt3xsQsU,35,"hopebeat, indie poptimism, modern alternative rock, modern rock",185428,2014-09-23,47
Let Yourself Be Huge,Cloudkicker,spotify:artist:4DAuhWUSCvn4FFcVpgIqY6,31,"djent, instrumental rock",261154,2011-11-17,0
Walking Backwards,Leagues,spotify:artist:6wMt8nBoOxcnZtGf6hEmtW,23,nashville indie,251466,2013-01-29,39
I Know It’s Pathetic But That Was the Greatest Night of My Life,Sun Kil Moon,spotify:artist:4G0XDEk7RbA4BBCTs917U9,46,"indie rock, lo-fi, modern folk rock, post-rock, slowcore",107080,2012-05-29,0
Build Your Cages,Pulse Ultra,spotify:artist:0mfFGjshEFbLqZEkPBkblG,25,,234600,2002-07-09,44
Crazy,Royal Bliss,spotify:artist:2DntubHirEICSdXa23WNpV,39,"heartland rock, heavy alternative",219133,2012-01-24,0
Little Games,The Colourist,spotify:artist:0hK26QoGcuKV3lH0x9MvUU,37,"indie poptimism, metropopolis, shimmer pop",161986,2014-01-01,46
Jealous (I Ain't With It),Chromeo,spotify:artist:2mV8aJphiSHYJf43DxL7Gt,53,"alternative dance, dance rock, filter house, indietronica, neo-synthpop, new rave, nu disco",228026,2014-05-12,48
Sunshine Of Your Love,Cream,spotify:artist:74oJ4qxwOZvX6oSsu1DGnw,61,"album rock, blues rock, british blues, classic rock, folk rock, hard rock, psychedelic rock, rock, singer-songwriter, supergroup",250000,1967-11-02,64
The Anthem,Good Charlotte,spotify:artist:5aYyPjAsLj7UzANzdupwnS,64,"alternative metal, modern rock, neon pop punk, pop punk, pop rock, post-grunge",175093,2002-10-04,77
Latch,Disclosure,spotify:artist:6nS5roXSAGhTGr34W6n7Et,72,"edm, house, indietronica, uk dance",255631,2013-01-01,0
More Than a Feeling,Boston,spotify:artist:29kkCKKGXheHuoO829FxWK,65,"album rock, classic rock, glam metal, hard rock, mellow gold, rock, soft rock",285133,1976,82
Strength in Numbers - Remastered,Times Of Grace,spotify:artist:0CfztphU9FWmAhGocFrrYC,33,"boston metal, melodic metalcore",256093,2011-01-12,39
California - Tchad Blake Mix,Phantom Planet,spotify:artist:0LsTFjEB1IIrh7IlTxs1GY,46,,193933,2002,63
Change,Churchill,spotify:artist:0RSOEwcMBmhkXmriCCXIXz,15,,198253,2013-01-01,31
Let Go,RAC,spotify:artist:4AGwPDdh1y8hochNzHy5HC,54,"indietronica, metropopolis, nu disco, shimmer pop",280120,2014-01-01,47
Name Of The Game,The Crystal Method,spotify:artist:5eKLa1xyHLq8ERWmT1CRHj,47,"big beat, breakbeat, electronica",255093,2001,50
18 and Life,Skid Row,spotify:artist:4opTS86dN9uO313J9CE8xg,60,"album rock, glam metal, hard rock, metal, rock",229960,1989-01-24,45
Mrs. Robinson,The Lemonheads,spotify:artist:6w7fc6IZlo5zwBaKT5jU1X,47,"alternative rock, boston rock, power pop",224480,1992-06-02,0
In a Daydream,Freddy Jones Band,spotify:artist:5vA7zRNn5r5kcKdAJwsFjk,26,,328226,1993-06-24,41
Entombment of a Machine,Job For A Cowboy,spotify:artist:5L3QTPofDwMPGlNnQkyHK1,42,"deathcore, melodic metalcore, metalcore",247520,2005,48
Slow Motion,PHOX,spotify:artist:3ix4iw2URncSdE7X292bXy,22,"chamber pop, wisconsin indie",294498,2014-06-24,0
That's Not My Name,The Ting Tings,spotify:artist:2wvUfjKGoXvcnDHq7GgMOa,48,"alternative dance, dance-punk, electropop, neo-synthpop, new rave",310573,2008-07-29,47
Bruises,Chairlift,spotify:artist:7hAolICGSgXJuM6DUpK5rp,42,"brooklyn indie, indietronica, metropopolis, neo-synthpop",241466,2008,27
Ocean Avenue,Yellowcard,spotify:artist:3zxKH0qp3nBCuPZCZT5Vaf,61,"alternative metal, pop punk, post-grunge, socal pop punk",198266,2003-01-01,74
Quantum Flux,Northlane,spotify:artist:3qyg72RGnGdF521zMU02u9,53,"australian metalcore, djent, melodic metalcore, metalcore, nu-metalcore, progressive metalcore",243939,2013-02-22,0
The High Road,Broken Bells,spotify:artist:6dgwEwnK0YtDfS9XhRwBTG,54,"chamber pop, indie rock, indietronica, la indie, modern rock",232200,2010-03-01,65
Whoa!,Black Rob,spotify:artist:1QPZhx0asYTBxD5RDqfU49,48,"dirty south rap, hardcore hip hop, harlem hip hop",238840,2000,57
Finale,Funeral Party,spotify:artist:5EfNeCzi7zZ3v4yogxKpnl,21,,250773,2011,28
"Baby, You Wouldn't Last A Minute On The Creek",Chiodos,spotify:artist:4ZIBrskTJWmkJUvM7uAu1o,46,"metalcore, neon pop punk, pop punk, post-hardcore, screamo",280866,2005,57
Buena,Morphine,spotify:artist:3QgSmABpItIdj908ek80n5,47,boston rock,199666,1993-09-14,52
Wings of A Butterfly,HIM,spotify:artist:74aLweE8FHHf4yN5TWv1GM,57,"dark rock, finnish alternative rock, gothic metal",211679,2005-09-26,0
One Armed Scissor,At the Drive-In,spotify:artist:5E2rtn57BM2WPjwak4kGd5,43,"dance-punk, el paso indie, emo, post-hardcore",260306,2000,0
Enter Sandman,Metallica,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB,80,"hard rock, metal, old school thrash, rock, thrash metal",331573,1991-08-12,0
Sacred Worlds,Blind Guardian,spotify:artist:7jxJ25p0pPjk0MStloN6o6,53,"fantasy metal, german metal, german power metal, metal, power metal, speed metal, symphonic metal",559080,2010-07-29,0
Chateau Lobby #4 (in C for Two Virgins),Father John Misty,spotify:artist:2kGBy2WHvF0VdZyqiVCkDT,69,"art pop, chamber pop, indie rock, singer-songwriter, stomp and holler",170826,2015-02-10,0
Mr. Jones,Counting Crows,spotify:artist:0vEsuISMWAKNctLlUAhSZC,66,"neo mellow, pop rock, post-grunge, rock",272293,1993-01-01,79
"You're Gonna Go Far, Kid",The Offspring,spotify:artist:5LfGQac0EIXyAN8aUwmNAQ,76,"alternative metal, permanent wave, post-grunge, punk, rock, skate punk, socal pop punk",177826,2008-06-13,0
Waterfall,The Fresh & Onlys,spotify:artist:6Ri83BLqlgaqIc9jwSgAn1,17,"garage psych, noise pop",192186,2010-10-12,28
Fuck You,CeeLo Green,spotify:artist:5nLYd9ST4Cnwy6NHaCxbj8,63,"atl hip hop, pop rap",222933,2010-11-09,68
Karma Chameleon - Remastered 2002,Culture Club,spotify:artist:6kz53iCdBSqhQCZ21CoLcc,62,"new romantic, new wave, new wave pop, soft rock, synthpop",252773,1983-10-01,77
Nothin' But The Cavi Hit,Mack 10,spotify:artist:3USpNaxpX1iNqNnQWqg9ob,53,"g funk, gangster rap, west coast rap",241360,2007-01-01,55
Edge and Pearl,Machinae Supremacy,spotify:artist:6cmp7ut7okJAgJOSaMAVf3,36,"bitpop, future rock, swedish metal, swedish power metal",240493,2007,0
Continental Shelf,Preoccupations,spotify:artist:2bs3QE2ZMBjmb0QTqAjCj3,30,"calgary indie, canadian indie, canadian post-punk, canadian punk, crank wave, garage psych, indie punk, indie rock, neo-psychedelic, noise rock, nu gaze",198514,2015-01-20,0
The Rat,The Walkmen,spotify:artist:6kFay2DQ5aZfeu5OsrF3Pw,43,"chamber pop, indie rock, noise pop",262226,2004-02-03,55
Everything Falls Apart,Dog's Eye View,spotify:artist:0ymKv4fh2eBhPT9HLTu8yH,22,,234133,1995-10-10,41
Jenny Says,Cowboy Mouth,spotify:artist:32rtQaUBGDTxYH3rMWKNvH,27,alternative roots rock,202586,1996,40
Bohemian Rhapsody - Remastered 2011,Queen,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,83,"classic rock, glam rock, rock",354320,1975-11-21,73
Feel so Sad (Glides and Chimes),Spiritualized,spotify:artist:6DKmuXxXASTF6xaJwcTfjv,41,"alternative rock, britpop, chamber pop, noise pop, shoegaze, spacegrunge",392226,2003-04-15,0
Rise Above,Black Flag,spotify:artist:5Mhs3Eu8lU6sRCtRYsmABV,47,"alternative rock, california hardcore, hardcore punk, punk",146560,1981,54
Kaputt,Destroyer,spotify:artist:22ojy4H4ZVpowC4lRRC8In,40,"art pop, chamber pop, indie rock, indietronica, noise pop, vancouver indie",377973,2011-01-25,0
Through The Looking Glass,Sleepwave,spotify:artist:43LxSfgAU06YH9syb0eG7w,10,"post-screamo, st petersburg fl indie",215586,2014-09-16,22
Starships,Nicki Minaj,spotify:artist:0hCNtLu0JehylgoiP8L4Gh,85,"hip pop, pop, queens hip hop, rap",210626,2012-01-01,61
Hallelujah,Jeff Buckley,spotify:artist:3nnQpaTvKb5jCQabZefACI,63,"melancholia, permanent wave, singer-songwriter",413320,1994,0
I Am The Lion King,PAPA,spotify:artist:2WQfUqU0HCYbiOA2w9zmBp,29,shimmer pop,236062,2011-10-04,0
Ten Thousand Angels,Mindy McCready,spotify:artist:2uB5sjjJwj4kB6TrRGLYJO,37,"country, country dawn, country road",206133,2003-08-17,23
Brazil,Ray Conniff,spotify:artist:7LfRnzGM0wRSyS5mmAwJbv,54,easy listening,184133,2004-02-24,34
The Mother We Share,CHVRCHES,spotify:artist:3CjlHNtplJyTf9npxaPl5w,60,"indietronica, metropopolis, neo-synthpop, shimmer pop",190160,2013-01-01,0
Still Tippin' (feat. Slim Thug and Paul Wall),Mike Jones,spotify:artist:07VmOvmuBp9G0gb8BTrpn0,57,dirty south rap,271053,2007,47
Rope,40 Below Summer,spotify:artist:68crB0FZHHJ4skP0JgMFKF,29,"industrial metal, new jersey hardcore, nu metal",260613,2002-03-25,41
The Adventure,Angels & Airwaves,spotify:artist:7xklw3WodFZiNNmQt3DIgp,53,"pop punk, socal pop punk",312533,2006-01-01,56
